Student_ID,Absences,Study_Time
1122,2.0,1-2 hours
1123,,>4 hours
1124,1.0,<1 hour
1125,4.0,>4 hours
1126,1.0,1-2 hours
1127,1.0,<1 hour
1128,3.0,>4 hours
1129,4.0,1-2 hours
1130,5.0,<1 hour
1131,2.0,>4 hours
1132,4.0,1-2 hours
1133,3.0,<1 hour
1134,3.0,>4 hours
1135,1.0,<1 hour
1136,4.0,1-2 hours
1137,1.0,>4 hours
1138,4.0,>4 hours
1139,1.0,>4 hours
1140,1.0,1-2 hours
1141,2.0,2-4 hours
1142,0.0,>4 hours
1143,1.0,1-2 hours
1144,2.0,<1 hour
1145,2.0,<1 hour
1146,0.0,1-2 hours
1147,3.0,2-4 hours
1148,3.0,1-2 hours
1149,3.0,<1 hour
1150,1.0,<1 hour
1151,1.0,>4 hours
1152,6.0,2-4 hours
1153,0.0,1-2 hours
1154,2.0,<1 hour
1155,4.0,<1 hour
1156,5.0,<1 hour
1157,3.0,1-2 hours
1158,2.0,1-2 hours
1159,2.0,2-4 hours
1160,4.0,>4 hours
1161,4.0,>4 hours
1162,1.0,>4 hours
1163,5.0,<1 hour
1164,1.0,>4 hours
1165,4.0,<1 hour
1166,2.0,2-4 hours
1167,5.0,<1 hour
1168,2.0,2-4 hours
1169,6.0,2-4 hours
1170,2.0,>4 hours
1171,1.0,>4 hours
1172,3.0,<1 hour
1173,4.0,1-2 hours
1174,3.0,>4 hours
1175,5.0,>4 hours
1176,4.0,1-2 hours
1177,3.0,1-2 hours
1178,1.0,>4 hours
1179,3.0,1-2 hours
1180,1.0,<1 hour
1181,1.0,2-4 hours
1182,4.0,2-4 hours
1183,3.0,>4 hours
1184,3.0,>4 hours
1185,2.0,<1 hour
1186,6.0,1-2 hours
1187,3.0,>4 hours
1188,1.0,2-4 hours
1189,4.0,<1 hour
1190,0.0,<1 hour
1191,5.0,1-2 hours
1192,5.0,>4 hours
1193,1.0,>4 hours
1194,1.0,<1 hour
1195,2.0,2-4 hours
1196,4.0,>4 hours
1197,3.0,2-4 hours
1198,4.0,<1 hour
1199,4.0,>4 hours
1200,3.0,2-4 hours
1201,1.0,<1 hour
1202,3.0,2-4 hours
1203,2.0,>4 hours
1204,3.0,1-2 hours
1205,4.0,2-4 hours
1206,4.0,1-2 hours
1207,,>4 hours
1208,0.0,1-2 hours
1209,0.0,<1 hour
1210,,1-2 hours
1211,3.0,2-4 hours
1212,4.0,2-4 hours
1213,4.0,1-2 hours
1214,3.0,<1 hour
1215,5.0,>4 hours
1216,1.0,1-2 hours
1217,4.0,2-4 hours
1218,1.0,2-4 hours
1219,4.0,1-2 hours
1220,4.0,1-2 hours
1221,1.0,1-2 hours
1222,2.0,>4 hours
1223,3.0,2-4 hours
1224,2.0,2-4 hours
1225,4.0,2-4 hours
1226,2.0,>4 hours
1227,8.0,<1 hour
1228,4.0,2-4 hours
1229,4.0,2-4 hours
1230,1.0,<1 hour
1231,3.0,>4 hours
1232,3.0,<1 hour
1233,3.0,<1 hour
1234,7.0,<1 hour
1235,3.0,<1 hour
1236,2.0,>4 hours
1237,1.0,>4 hours
1238,3.0,<1 hour
1239,3.0,1-2 hours
1240,0.0,1-2 hours
1241,3.0,1-2 hours
1242,5.0,1-2 hours
1243,4.0,2-4 hours
1244,4.0,>4 hours
1245,5.0,>4 hours
1246,2.0,<1 hour
1247,3.0,2-4 hours
1248,3.0,<1 hour
1249,4.0,<1 hour
1250,1.0,>4 hours
1251,2.0,2-4 hours
1252,3.0,1-2 hours
1253,2.0,>4 hours
1254,3.0,2-4 hours
1255,5.0,2-4 hours
1256,1.0,>4 hours
1257,1.0,>4 hours
1258,1.0,<1 hour
1259,1.0,<1 hour
1260,1.0,<1 hour
1261,1.0,1-2 hours
1262,3.0,>4 hours
1263,2.0,2-4 hours
1264,5.0,>4 hours
1265,5.0,2-4 hours
1266,2.0,1-2 hours
1267,2.0,>4 hours
1268,4.0,2-4 hours
1269,0.0,2-4 hours
1270,2.0,<1 hour
1271,3.0,1-2 hours
1272,3.0,>4 hours
1273,3.0,<1 hour
1274,1.0,1-2 hours
1275,3.0,<1 hour
1276,1.0,>4 hours
1277,2.0,2-4 hours
1278,2.0,>4 hours
1279,1.0,1-2 hours
1280,6.0,>4 hours
1281,2.0,1-2 hours
1282,7.0,<1 hour
1283,8.0,1-2 hours
1284,2.0,2-4 hours
1285,2.0,2-4 hours
1286,6.0,2-4 hours
1287,3.0,<1 hour
1288,1.0,1-2 hours
1289,3.0,<1 hour
1290,0.0,>4 hours
1291,6.0,>4 hours
1292,2.0,>4 hours
1293,1.0,>4 hours
1294,3.0,2-4 hours
1295,3.0,1-2 hours
1296,5.0,2-4 hours
1297,1.0,1-2 hours
1298,2.0,1-2 hours
1299,3.0,<1 hour
1300,6.0,>4 hours
1301,2.0,1-2 hours
1302,3.0,>4 hours
1303,4.0,>4 hours
1304,5.0,>4 hours
1305,1.0,2-4 hours
1306,4.0,>4 hours
1307,,1-2 hours
1308,1.0,2-4 hours
1309,6.0,>4 hours
1310,5.0,<1 hour
1311,5.0,>4 hours
1312,6.0,>4 hours
1313,3.0,2-4 hours
1314,1.0,1-2 hours
1315,1.0,>4 hours
1316,6.0,2-4 hours
1317,2.0,2-4 hours
1318,4.0,1-2 hours
1319,3.0,2-4 hours
1320,7.0,1-2 hours
1321,2.0,<1 hour
1322,4.0,>4 hours
1323,0.0,2-4 hours
1324,1.0,<1 hour
1325,2.0,2-4 hours
1326,7.0,2-4 hours
1327,5.0,<1 hour
1328,3.0,2-4 hours
1329,7.0,2-4 hours
1330,2.0,<1 hour
1331,3.0,2-4 hours
1332,1.0,1-2 hours
1333,3.0,2-4 hours
1334,3.0,>4 hours
1335,4.0,2-4 hours
1336,3.0,>4 hours
1337,4.0,>4 hours
1338,2.0,2-4 hours
1339,4.0,<1 hour
1340,6.0,1-2 hours
1341,3.0,1-2 hours
1342,4.0,2-4 hours
1343,1.0,<1 hour
1344,6.0,<1 hour
1345,4.0,1-2 hours
1346,2.0,<1 hour
1347,0.0,2-4 hours
1348,2.0,2-4 hours
1349,4.0,<1 hour
1350,3.0,2-4 hours
1351,4.0,>4 hours
1352,4.0,1-2 hours
1353,6.0,2-4 hours
1354,3.0,<1 hour
1355,2.0,1-2 hours
1356,,2-4 hours
1357,5.0,1-2 hours
1358,4.0,<1 hour
1359,2.0,>4 hours
1360,1.0,>4 hours
1361,5.0,2-4 hours
1362,6.0,>4 hours
1363,1.0,2-4 hours
1364,6.0,1-2 hours
1365,3.0,2-4 hours
1366,4.0,2-4 hours
1367,3.0,2-4 hours
1368,3.0,>4 hours
1369,4.0,2-4 hours
1370,1.0,<1 hour
1371,5.0,2-4 hours
1372,2.0,1-2 hours
1373,4.0,<1 hour
1374,5.0,1-2 hours
1375,3.0,1-2 hours
1376,3.0,1-2 hours
1377,4.0,<1 hour
1378,2.0,<1 hour
1379,4.0,>4 hours
1380,0.0,<1 hour
1381,0.0,2-4 hours
1382,4.0,1-2 hours
1383,2.0,>4 hours
1384,2.0,<1 hour
1385,1.0,1-2 hours
1386,2.0,<1 hour
1387,5.0,>4 hours
1388,2.0,<1 hour
1389,3.0,<1 hour
1390,0.0,1-2 hours
1391,2.0,2-4 hours
1392,3.0,<1 hour
1393,4.0,>4 hours
1394,6.0,<1 hour
1395,4.0,<1 hour
1396,3.0,2-4 hours
1397,2.0,1-2 hours
1398,5.0,>4 hours
1399,3.0,1-2 hours
1400,3.0,1-2 hours
1401,2.0,1-2 hours
1402,3.0,<1 hour
1403,6.0,2-4 hours
1404,1.0,<1 hour
1405,2.0,>4 hours
1406,2.0,2-4 hours
1407,2.0,1-2 hours
1408,7.0,2-4 hours
1409,1.0,>4 hours
1410,3.0,<1 hour
1411,8.0,<1 hour
1412,1.0,1-2 hours
1413,2.0,<1 hour
1414,4.0,<1 hour
1415,1.0,>4 hours
1416,4.0,2-4 hours
1417,4.0,<1 hour
1418,4.0,>4 hours
1419,2.0,>4 hours
1420,5.0,1-2 hours
1421,3.0,>4 hours
1422,3.0,1-2 hours
1423,3.0,<1 hour
1424,2.0,1-2 hours
1425,3.0,>4 hours
1426,0.0,2-4 hours
1427,1.0,2-4 hours
1428,1.0,<1 hour
1429,3.0,<1 hour
1430,5.0,2-4 hours
1431,1.0,1-2 hours
1432,7.0,<1 hour
1433,3.0,>4 hours
1434,2.0,<1 hour
1435,6.0,1-2 hours
1436,5.0,<1 hour
1437,4.0,>4 hours
1438,3.0,>4 hours
1439,1.0,>4 hours
1440,4.0,1-2 hours
1441,1.0,1-2 hours
1442,1.0,>4 hours
1443,5.0,>4 hours
1444,2.0,1-2 hours
1445,4.0,1-2 hours
1446,6.0,1-2 hours
1447,3.0,2-4 hours
1448,1.0,1-2 hours
1449,3.0,>4 hours
1450,2.0,2-4 hours
1451,4.0,1-2 hours
1452,2.0,>4 hours
1453,5.0,<1 hour
1454,3.0,2-4 hours
1455,4.0,>4 hours
1456,3.0,<1 hour
1457,3.0,>4 hours
1458,0.0,1-2 hours
1459,3.0,1-2 hours
1460,0.0,<1 hour
1461,3.0,1-2 hours
1462,5.0,>4 hours
1463,2.0,<1 hour
1464,0.0,>4 hours
1465,5.0,>4 hours
1466,3.0,>4 hours
1467,2.0,1-2 hours
1468,3.0,1-2 hours
1469,,>4 hours
1470,3.0,2-4 hours
1471,4.0,>4 hours
1472,1.0,>4 hours
1473,3.0,<1 hour
1474,2.0,>4 hours
1475,2.0,1-2 hours
1476,0.0,<1 hour
1477,3.0,2-4 hours
1478,3.0,<1 hour
1479,2.0,2-4 hours
1480,1.0,<1 hour
1481,3.0,<1 hour
1482,4.0,2-4 hours
1483,4.0,1-2 hours
1484,5.0,1-2 hours
1485,5.0,1-2 hours
1486,2.0,<1 hour
1487,3.0,>4 hours
1488,3.0,<1 hour
1489,2.0,>4 hours
1490,2.0,>4 hours
1491,4.0,1-2 hours
1492,1.0,>4 hours
1493,6.0,<1 hour
1494,1.0,<1 hour
1495,4.0,1-2 hours
1496,2.0,2-4 hours
1497,4.0,<1 hour
1498,3.0,>4 hours
1499,5.0,<1 hour
1500,5.0,<1 hour
1501,1.0,<1 hour
1502,4.0,2-4 hours
1503,2.0,>4 hours
1504,3.0,1-2 hours
1505,1.0,<1 hour
1506,4.0,>4 hours
1507,3.0,>4 hours
1508,4.0,1-2 hours
1509,4.0,<1 hour
1510,4.0,2-4 hours
1511,3.0,>4 hours
1512,1.0,1-2 hours
1513,5.0,2-4 hours
1514,5.0,>4 hours
1515,4.0,<1 hour
1516,5.0,>4 hours
1517,3.0,2-4 hours
1518,2.0,2-4 hours
1519,5.0,<1 hour
1520,6.0,<1 hour
1521,3.0,1-2 hours
1522,0.0,<1 hour
1523,3.0,1-2 hours
1524,1.0,2-4 hours
1525,0.0,2-4 hours
1526,1.0,>4 hours
1527,4.0,>4 hours
1528,2.0,1-2 hours
1529,8.0,<1 hour
1530,7.0,<1 hour
1531,3.0,>4 hours
1532,3.0,2-4 hours
1533,3.0,1-2 hours
1534,0.0,2-4 hours
1535,3.0,2-4 hours
1536,3.0,<1 hour
1537,4.0,1-2 hours
1538,1.0,2-4 hours
1539,3.0,>4 hours
1540,4.0,>4 hours
1541,4.0,<1 hour
1542,2.0,>4 hours
1543,5.0,>4 hours
1544,2.0,2-4 hours
1545,4.0,>4 hours
1546,3.0,>4 hours
1547,3.0,2-4 hours
1548,2.0,<1 hour
1549,2.0,<1 hour
1550,1.0,1-2 hours
1551,3.0,>4 hours
1552,5.0,2-4 hours
1553,1.0,1-2 hours
1554,2.0,<1 hour
1555,3.0,<1 hour
1556,2.0,2-4 hours
1557,3.0,1-2 hours
1558,4.0,1-2 hours
1559,1.0,2-4 hours
1560,1.0,2-4 hours
1561,3.0,1-2 hours
1562,3.0,<1 hour
1563,3.0,>4 hours
1564,2.0,<1 hour
1565,1.0,2-4 hours
1566,3.0,1-2 hours
1567,5.0,1-2 hours
1568,0.0,>4 hours
1569,8.0,1-2 hours
1570,4.0,>4 hours
1571,1.0,<1 hour
1572,6.0,<1 hour
1573,0.0,1-2 hours
1574,7.0,1-2 hours
1575,1.0,2-4 hours
1576,3.0,2-4 hours
1577,1.0,1-2 hours
1578,1.0,1-2 hours
1579,2.0,<1 hour
1580,8.0,1-2 hours
1581,2.0,2-4 hours
1582,6.0,<1 hour
1583,3.0,>4 hours
1584,3.0,2-4 hours
1585,5.0,2-4 hours
1586,8.0,<1 hour
1587,,>4 hours
1588,2.0,2-4 hours
1589,2.0,1-2 hours
1590,3.0,2-4 hours
1591,6.0,<1 hour
1592,3.0,<1 hour
1593,4.0,<1 hour
1594,4.0,2-4 hours
1595,3.0,>4 hours
1596,4.0,1-2 hours
1597,5.0,<1 hour
1598,6.0,>4 hours
1599,3.0,1-2 hours
1600,4.0,<1 hour
1601,6.0,1-2 hours
1602,2.0,1-2 hours
1603,,>4 hours
1604,,1-2 hours
1605,1.0,<1 hour
1606,4.0,>4 hours
1607,4.0,2-4 hours
1608,1.0,2-4 hours
1609,1.0,>4 hours
1610,5.0,2-4 hours
1611,4.0,1-2 hours
1612,3.0,<1 hour
1613,,1-2 hours
1614,1.0,>4 hours
1615,5.0,<1 hour
1616,5.0,>4 hours
1617,2.0,>4 hours
1618,4.0,>4 hours
1619,6.0,1-2 hours
1620,2.0,<1 hour
1621,4.0,<1 hour
1622,3.0,<1 hour
1623,4.0,1-2 hours
1624,5.0,2-4 hours
1625,0.0,1-2 hours
1626,4.0,1-2 hours
1627,1.0,>4 hours
1628,1.0,<1 hour
1629,3.0,<1 hour
1630,2.0,2-4 hours
1631,1.0,2-4 hours
1632,2.0,>4 hours
1633,2.0,<1 hour
1634,4.0,2-4 hours
1635,5.0,2-4 hours
1636,3.0,<1 hour
1637,3.0,1-2 hours
1638,1.0,2-4 hours
1639,0.0,<1 hour
1640,3.0,2-4 hours
1641,7.0,>4 hours
1642,1.0,2-4 hours
1643,8.0,<1 hour
1644,4.0,2-4 hours
1645,5.0,>4 hours
1646,3.0,>4 hours
1647,4.0,2-4 hours
1648,4.0,2-4 hours
1649,3.0,>4 hours
1650,4.0,>4 hours
1651,4.0,1-2 hours
1652,4.0,1-2 hours
1653,3.0,>4 hours
1654,7.0,2-4 hours
1655,3.0,<1 hour
1656,1.0,2-4 hours
1657,5.0,2-4 hours
1658,3.0,1-2 hours
1659,4.0,1-2 hours
1660,3.0,1-2 hours
1661,3.0,>4 hours
1662,4.0,>4 hours
1663,0.0,2-4 hours
1664,3.0,2-4 hours
1665,5.0,<1 hour
1666,3.0,2-4 hours
1667,2.0,2-4 hours
1668,2.0,1-2 hours
1669,4.0,1-2 hours
1670,5.0,1-2 hours
1671,6.0,1-2 hours
1672,4.0,1-2 hours
1673,3.0,<1 hour
1674,7.0,<1 hour
1675,2.0,<1 hour
1676,2.0,1-2 hours
1677,3.0,>4 hours
1678,2.0,1-2 hours
1679,3.0,1-2 hours
1680,2.0,<1 hour
1681,2.0,1-2 hours
1682,3.0,<1 hour
1683,6.0,1-2 hours
1684,2.0,2-4 hours
1685,7.0,>4 hours
1686,3.0,>4 hours
1687,4.0,<1 hour
1688,1.0,2-4 hours
1689,0.0,>4 hours
1690,3.0,<1 hour
1691,4.0,1-2 hours
1692,2.0,1-2 hours
1693,3.0,2-4 hours
1694,6.0,>4 hours
1695,3.0,1-2 hours
1696,2.0,<1 hour
1697,1.0,1-2 hours
1698,3.0,1-2 hours
1699,4.0,>4 hours
1700,3.0,>4 hours
1701,2.0,<1 hour
1702,3.0,2-4 hours
1703,0.0,2-4 hours
1704,2.0,1-2 hours
1705,6.0,<1 hour
1706,2.0,2-4 hours
1707,3.0,2-4 hours
1708,5.0,1-2 hours
1709,3.0,<1 hour
1710,3.0,2-4 hours
1711,2.0,>4 hours
1712,3.0,>4 hours
1713,0.0,1-2 hours
1714,2.0,1-2 hours
1715,1.0,1-2 hours
1716,1.0,1-2 hours
1717,3.0,2-4 hours
1718,7.0,<1 hour
1719,3.0,1-2 hours
1720,2.0,1-2 hours
1721,2.0,2-4 hours
1722,3.0,1-2 hours
1723,6.0,1-2 hours
1724,3.0,<1 hour
1725,2.0,>4 hours
1726,3.0,1-2 hours
1727,6.0,2-4 hours
1728,1.0,<1 hour
1729,2.0,2-4 hours
1730,5.0,<1 hour
1731,4.0,<1 hour
1732,2.0,1-2 hours
1733,2.0,1-2 hours
1734,3.0,1-2 hours
1735,3.0,>4 hours
1736,3.0,>4 hours
1737,6.0,2-4 hours
1738,0.0,1-2 hours
1739,4.0,>4 hours
1740,1.0,1-2 hours
1741,4.0,>4 hours
1742,1.0,>4 hours
1743,1.0,<1 hour
1744,3.0,1-2 hours
1745,2.0,1-2 hours
1746,0.0,>4 hours
1747,2.0,1-2 hours
1748,3.0,>4 hours
1749,3.0,1-2 hours
1750,2.0,<1 hour
1751,10.0,1-2 hours
1752,4.0,<1 hour
1753,2.0,2-4 hours
1754,2.0,1-2 hours
1755,3.0,1-2 hours
1756,3.0,1-2 hours
1757,3.0,<1 hour
1758,0.0,1-2 hours
1759,0.0,1-2 hours
1760,4.0,>4 hours
1761,2.0,2-4 hours
1762,4.0,<1 hour
1763,2.0,>4 hours
1764,1.0,<1 hour
1765,2.0,>4 hours
1766,2.0,2-4 hours
1767,4.0,>4 hours
1768,2.0,<1 hour
1769,3.0,1-2 hours
1770,0.0,1-2 hours
1771,2.0,2-4 hours
1772,1.0,<1 hour
1773,5.0,<1 hour
1774,4.0,<1 hour
1775,6.0,2-4 hours
1776,3.0,1-2 hours
1777,11.0,>4 hours
1778,1.0,2-4 hours
1779,1.0,>4 hours
1780,2.0,1-2 hours
1781,4.0,2-4 hours
1782,2.0,1-2 hours
1783,2.0,>4 hours
1784,2.0,<1 hour
1785,3.0,<1 hour
1786,1.0,>4 hours
1787,0.0,<1 hour
1788,1.0,>4 hours
1789,3.0,2-4 hours
1790,7.0,2-4 hours
1791,4.0,2-4 hours
1792,6.0,<1 hour
1793,5.0,1-2 hours
1794,2.0,<1 hour
1795,3.0,<1 hour
1796,,1-2 hours
1797,5.0,1-2 hours
1798,3.0,1-2 hours
1799,4.0,1-2 hours
1800,3.0,<1 hour
1801,0.0,>4 hours
1802,7.0,2-4 hours
1803,2.0,>4 hours
1804,5.0,<1 hour
1805,1.0,1-2 hours
1806,1.0,2-4 hours
1807,1.0,2-4 hours
1808,3.0,>4 hours
1809,3.0,<1 hour
1810,1.0,<1 hour
1811,3.0,<1 hour
1812,3.0,2-4 hours
1813,7.0,>4 hours
1814,4.0,2-4 hours
1815,3.0,2-4 hours
1816,3.0,1-2 hours
1817,1.0,>4 hours
1818,5.0,1-2 hours
1819,2.0,<1 hour
1820,2.0,2-4 hours
1821,2.0,>4 hours
1822,5.0,<1 hour
1823,2.0,>4 hours
1824,1.0,2-4 hours
1825,7.0,>4 hours
1826,6.0,<1 hour
1827,2.0,1-2 hours
1828,2.0,2-4 hours
1829,3.0,1-2 hours
1830,4.0,2-4 hours
1831,2.0,<1 hour
1832,2.0,2-4 hours
1833,2.0,1-2 hours
1834,4.0,2-4 hours
1835,5.0,<1 hour
1836,3.0,2-4 hours
1837,3.0,1-2 hours
1838,2.0,<1 hour
1839,5.0,1-2 hours
1840,2.0,2-4 hours
1841,3.0,>4 hours
1842,3.0,1-2 hours
1843,2.0,2-4 hours
1844,1.0,>4 hours
1845,1.0,>4 hours
1846,4.0,<1 hour
1847,1.0,>4 hours
1848,3.0,1-2 hours
1849,2.0,1-2 hours
1850,1.0,>4 hours
1851,6.0,2-4 hours
1852,2.0,1-2 hours
1853,4.0,1-2 hours
1854,4.0,<1 hour
1855,7.0,2-4 hours
1856,2.0,>4 hours
1857,8.0,2-4 hours
1858,3.0,<1 hour
1859,4.0,<1 hour
1860,4.0,2-4 hours
1861,,<1 hour
1862,1.0,<1 hour
1863,3.0,<1 hour
1864,2.0,2-4 hours
1865,1.0,<1 hour
1866,2.0,>4 hours
1867,3.0,>4 hours
1868,7.0,1-2 hours
1869,4.0,>4 hours
1870,1.0,1-2 hours
1871,1.0,2-4 hours
1872,1.0,<1 hour
1873,4.0,>4 hours
1874,6.0,1-2 hours
1875,6.0,2-4 hours
1876,0.0,1-2 hours
1877,8.0,<1 hour
1878,3.0,>4 hours
1879,4.0,2-4 hours
1880,2.0,1-2 hours
1881,2.0,2-4 hours
1882,2.0,1-2 hours
1883,0.0,1-2 hours
1884,6.0,<1 hour
1885,4.0,<1 hour
1886,3.0,1-2 hours
1887,3.0,>4 hours
1888,1.0,2-4 hours
1889,5.0,2-4 hours
1890,3.0,<1 hour
1891,4.0,>4 hours
1892,2.0,1-2 hours
1893,0.0,<1 hour
1894,1.0,1-2 hours
1895,1.0,1-2 hours
1896,4.0,<1 hour
1897,0.0,>4 hours
1898,2.0,2-4 hours
1899,3.0,<1 hour
1900,3.0,>4 hours
1901,3.0,1-2 hours
1902,1.0,<1 hour
1903,2.0,2-4 hours
1904,3.0,2-4 hours
1905,4.0,1-2 hours
1906,4.0,<1 hour
1907,1.0,2-4 hours
1908,0.0,<1 hour
1909,3.0,2-4 hours
1910,4.0,1-2 hours
1911,0.0,1-2 hours
1912,1.0,<1 hour
1913,4.0,>4 hours
1914,2.0,>4 hours
1915,5.0,1-2 hours
1916,5.0,2-4 hours
1917,4.0,>4 hours
1918,2.0,1-2 hours
1919,5.0,2-4 hours
1920,6.0,2-4 hours
1921,1.0,>4 hours
1922,2.0,1-2 hours
1923,2.0,2-4 hours
1924,2.0,2-4 hours
1925,3.0,<1 hour
1926,1.0,<1 hour
1927,4.0,>4 hours
1928,2.0,<1 hour
1929,0.0,1-2 hours
1930,1.0,>4 hours
1931,5.0,>4 hours
1932,5.0,<1 hour
1933,3.0,2-4 hours
1934,2.0,1-2 hours
1935,1.0,1-2 hours
1936,2.0,1-2 hours
1937,3.0,>4 hours
1938,3.0,1-2 hours
1939,,2-4 hours
1940,3.0,2-4 hours
1941,2.0,<1 hour
1942,5.0,1-2 hours
1943,3.0,>4 hours
1944,4.0,<1 hour
1945,4.0,2-4 hours
1946,4.0,1-2 hours
1947,5.0,2-4 hours
1948,4.0,<1 hour
1949,4.0,2-4 hours
1950,0.0,1-2 hours
1951,4.0,1-2 hours
1952,2.0,<1 hour
1953,5.0,1-2 hours
1954,5.0,2-4 hours
1955,2.0,2-4 hours
1956,4.0,>4 hours
1957,0.0,>4 hours
1958,2.0,>4 hours
1959,0.0,2-4 hours
1960,6.0,2-4 hours
1961,4.0,<1 hour
1962,5.0,>4 hours
1963,6.0,2-4 hours
1964,5.0,<1 hour
1965,5.0,2-4 hours
1966,2.0,<1 hour
1967,3.0,>4 hours
1968,9.0,>4 hours
1969,0.0,>4 hours
1970,1.0,2-4 hours
1971,3.0,2-4 hours
1972,6.0,<1 hour
1973,1.0,1-2 hours
1974,5.0,1-2 hours
1975,3.0,>4 hours
1976,5.0,1-2 hours
1977,7.0,>4 hours
1978,5.0,<1 hour
1979,6.0,1-2 hours
1980,1.0,1-2 hours
1981,2.0,>4 hours
1982,1.0,<1 hour
1983,5.0,1-2 hours
1984,,1-2 hours
1985,2.0,1-2 hours
1986,2.0,<1 hour
1987,2.0,<1 hour
1988,2.0,1-2 hours
1989,2.0,>4 hours
1990,6.0,>4 hours
1991,0.0,1-2 hours
1992,1.0,<1 hour
1993,4.0,1-2 hours
1994,6.0,<1 hour
1995,3.0,1-2 hours
1996,3.0,<1 hour
1997,3.0,2-4 hours
1998,4.0,>4 hours
1999,1.0,2-4 hours
2000,4.0,>4 hours
