Student_ID,Subject_ID,Score
1052,1,69.0
1052,2,54.0
1052,3,66.0
1052,4,74.0
1052,5,72.0
1052,6,59.0
1053,1,55.0
1053,2,73.0
1053,3,41.0
1053,4,74.0
1053,5,79.0
1053,6,95.0
1054,1,67.0
1054,2,86.0
1054,3,78.0
1054,4,45.0
1054,5,48.0
1054,6,59.0
1055,1,99.0
1055,2,40.0
1055,3,47.0
1055,4,94.0
1055,5,62.0
1055,6,42.0
1056,1,43.0
1056,2,97.0
1056,3,64.0
1056,4,86.0
1056,5,77.0
1056,6,54.0
1057,1,60.0
1057,2,74.0
1057,3,96.0
1057,4,92.0
1057,5,92.0
1057,6,85.0
1058,1,91.0
1058,2,53.0
1058,3,75.0
1058,4,51.0
1058,5,56.0
1058,6,78.0
1059,1,48.0
1059,2,74.0
1059,3,99.0
1059,4,52.0
1059,5,54.0
1059,6,57.0
1060,1,90.0
1060,2,72.0
1060,3,45.0
1060,4,98.0
1060,5,66.0
1060,6,62.0
1061,1,98.0
1061,2,66.0
1061,3,73.0
1061,4,95.0
1061,5,85.0
1061,6,77.0
1062,1,53.0
1062,2,75.0
1062,3,92.0
1062,4,47.0
1062,5,74.0
1062,6,58.0
1063,1,69.0
1063,2,53.0
1063,3,98.0
1063,4,59.0
1063,5,88.0
1063,6,64.0
1064,1,79.0
1064,2,63.0
1064,3,53.0
1064,4,65.0
1064,5,77.0
1064,6,62.0
1065,1,61.0
1065,2,87.0
1065,3,96.0
1065,4,58.0
1065,5,85.0
1065,6,90.0
1066,1,42.0
1066,2,81.0
1066,3,58.0
1066,4,48.0
1066,5,67.0
1066,6,59.0
1067,1,84.0
1067,2,46.0
1067,3,53.0
1067,4,48.0
1067,5,98.0
1067,6,99.0
1068,1,94.0
1068,2,96.0
1068,3,99.0
1068,4,58.0
1068,5,86.0
1068,6,91.0
1069,1,53.0
1069,2,95.0
1069,3,77.0
1069,4,92.0
1069,5,75.0
1069,6,79.0
1070,1,56.0
1070,2,69.0
1070,3,48.0
1070,4,72.0
1070,5,95.0
1070,6,91.0
1071,1,64.0
1071,2,53.0
1071,3,50.0
1071,4,92.0
1071,5,74.0
1071,6,80.0
1072,1,98.0
1072,2,53.0
1072,3,69.0
1072,4,80.0
1072,5,43.0
1072,6,98.0
1073,1,43.0
1073,2,67.0
1073,3,47.0
1073,4,41.0
1073,5,80.0
1073,6,85.0
1074,1,61.0
1074,2,80.0
1074,3,95.0
1074,4,94.0
1074,5,55.0
1074,6,68.0
1075,1,88.0
1075,2,87.0
1075,3,69.0
1075,4,51.0
1075,5,74.0
1075,6,50.0
1076,1,85.0
1076,2,89.0
1076,3,60.0
1076,4,60.0
1076,5,44.0
1076,6,87.0
1077,1,59.0
1077,2,76.0
1077,3,42.0
1077,4,83.0
1077,5,72.0
1077,6,92.0
1078,1,48.0
1078,2,48.0
1078,3,43.0
1078,4,74.0
1078,5,56.0
1078,6,73.0
1079,1,63.0
1079,2,71.0
1079,3,40.0
1079,4,47.0
1079,5,84.0
1079,6,62.0
1080,1,86.0
1080,2,79.0
1080,3,51.0
1080,4,93.0
1080,5,51.0
1080,6,85.0
1081,1,86.0
1081,2,54.0
1081,3,80.0
1081,4,58.0
1081,5,65.0
1081,6,91.0
1082,1,68.0
1082,2,61.0
1082,3,79.0
1082,4,60.0
1082,5,90.0
1082,6,77.0
1083,1,59.0
1083,2,96.0
1083,3,68.0
1083,4,90.0
1083,5,43.0
1083,6,94.0
1084,1,46.0
1084,2,67.0
1084,3,67.0
1084,4,43.0
1084,5,61.0
1084,6,51.0
1085,1,84.0
1085,2,42.0
1085,3,61.0
1085,4,83.0
1085,5,41.0
1085,6,63.0
1086,1,
1086,2,66.0
1086,3,94.0
1086,4,80.0
1086,5,40.0
1086,6,47.0
1087,1,62.0
1087,2,77.0
1087,3,45.0
1087,4,61.0
1087,5,64.0
1087,6,57.0
1088,1,56.0
1088,2,51.0
1088,3,45.0
1088,4,65.0
1088,5,66.0
1088,6,47.0
1089,1,58.0
1089,2,99.0
1089,3,81.0
1089,4,40.0
1089,5,96.0
1089,6,68.0
1090,1,84.0
1090,2,88.0
1090,3,74.0
1090,4,79.0
1090,5,53.0
1090,6,74.0
1091,1,87.0
1091,2,84.0
1091,3,59.0
1091,4,95.0
1091,5,88.0
1091,6,52.0
1092,1,77.0
1092,2,88.0
1092,3,85.0
1092,4,88.0
1092,5,47.0
1092,6,82.0
1093,1,59.0
1093,2,99.0
1093,3,72.0
1093,4,65.0
1093,5,78.0
1093,6,60.0
1094,1,92.0
1094,2,88.0
1094,3,81.0
1094,4,82.0
1094,5,93.0
1094,6,80.0
1095,1,48.0
1095,2,63.0
1095,3,76.0
1095,4,88.0
1095,5,80.0
1095,6,56.0
1096,1,63.0
1096,2,60.0
1096,3,90.0
1096,4,98.0
1096,5,78.0
1096,6,94.0
1097,1,80.0
1097,2,78.0
1097,3,52.0
1097,4,50.0
1097,5,85.0
1097,6,58.0
1098,1,50.0
1098,2,52.0
1098,3,85.0
1098,4,84.0
1098,5,40.0
1098,6,79.0
1099,1,83.0
1099,2,58.0
1099,3,51.0
1099,4,47.0
1099,5,47.0
1099,6,92.0
1100,1,84.0
1100,2,51.0
1100,3,87.0
1100,4,72.0
1100,5,84.0
1100,6,65.0
1101,1,78.0
1101,2,67.0
1101,3,97.0
1101,4,44.0
1101,5,47.0
1101,6,64.0
1102,1,66.0
1102,2,85.0
1102,3,62.0
1102,4,69.0
1102,5,84.0
1102,6,86.0
1103,1,62.0
1103,2,88.0
1103,3,86.0
1103,4,59.0
1103,5,57.0
1103,6,57.0
1104,1,41.0
1104,2,43.0
1104,3,69.0
1104,4,72.0
1104,5,75.0
1104,6,57.0
1105,1,76.0
1105,2,58.0
1105,3,86.0
1105,4,67.0
1105,5,79.0
1105,6,59.0
1106,1,88.0
1106,2,72.0
1106,3,51.0
1106,4,97.0
1106,5,90.0
1106,6,54.0
1107,1,80.0
1107,2,78.0
1107,3,41.0
1107,4,68.0
1107,5,80.0
1107,6,49.0
1108,1,41.0
1108,2,90.0
1108,3,50.0
1108,4,52.0
1108,5,49.0
1108,6,53.0
1109,1,57.0
1109,2,90.0
1109,3,93.0
1109,4,48.0
1109,5,96.0
1109,6,78.0
1110,1,67.0
1110,2,42.0
1110,3,59.0
1110,4,45.0
1110,5,66.0
1110,6,92.0
1111,1,41.0
1111,2,68.0
1111,3,77.0
1111,4,42.0
1111,5,55.0
1111,6,69.0
1112,1,79.0
1112,2,41.0
1112,3,56.0
1112,4,80.0
1112,5,51.0
1112,6,74.0
1113,1,82.0
1113,2,40.0
1113,3,94.0
1113,4,84.0
1113,5,54.0
1113,6,65.0
1114,1,76.0
1114,2,60.0
1114,3,88.0
1114,4,70.0
1114,5,64.0
1114,6,62.0
1115,1,63.0
1115,2,96.0
1115,3,77.0
1115,4,67.0
1115,5,60.0
1115,6,93.0
1116,1,82.0
1116,2,57.0
1116,3,75.0
1116,4,74.0
1116,5,84.0
1116,6,94.0
1117,1,48.0
1117,2,92.0
1117,3,77.0
1117,4,97.0
1117,5,69.0
1117,6,99.0
1118,1,83.0
1118,2,73.0
1118,3,71.0
1118,4,42.0
1118,5,42.0
1118,6,67.0
1119,1,83.0
1119,2,54.0
1119,3,80.0
1119,4,62.0
1119,5,79.0
1119,6,50.0
1120,1,87.0
1120,2,71.0
1120,3,97.0
1120,4,98.0
1120,5,96.0
1120,6,93.0
1121,1,75.0
1121,2,99.0
1121,3,72.0
1121,4,63.0
1121,5,78.0
1121,6,73.0
1122,1,95.0
1122,2,67.0
1122,3,76.0
1122,4,46.0
1122,5,43.0
1122,6,76.0
1123,1,95.0
1123,2,
1123,3,40.0
1123,4,86.0
1123,5,59.0
1123,6,58.0
1124,1,68.0
1124,2,49.0
1124,3,99.0
1124,4,57.0
1124,5,67.0
1124,6,74.0
1125,1,82.0
1125,2,86.0
1125,3,70.0
1125,4,66.0
1125,5,50.0
1125,6,88.0
1126,1,88.0
1126,2,77.0
1126,3,44.0
1126,4,47.0
1126,5,73.0
1126,6,87.0
1127,1,91.0
1127,2,95.0
1127,3,51.0
1127,4,77.0
1127,5,40.0
1127,6,70.0
1128,1,43.0
1128,2,88.0
1128,3,84.0
1128,4,89.0
1128,5,44.0
1128,6,69.0
1129,1,95.0
1129,2,63.0
1129,3,98.0
1129,4,42.0
1129,5,50.0
1129,6,84.0
1130,1,43.0
1130,2,65.0
1130,3,66.0
1130,4,85.0
1130,5,93.0
1130,6,82.0
1131,1,66.0
1131,2,81.0
1131,3,90.0
1131,4,89.0
1131,5,45.0
1131,6,98.0
1132,1,54.0
1132,2,92.0
1132,3,69.0
1132,4,81.0
1132,5,76.0
1132,6,97.0
1133,1,76.0
1133,2,81.0
1133,3,99.0
1133,4,76.0
1133,5,74.0
1133,6,62.0
1134,1,45.0
1134,2,43.0
1134,3,57.0
1134,4,99.0
1134,5,48.0
1134,6,88.0
1135,1,68.0
1135,2,52.0
1135,3,98.0
1135,4,86.0
1135,5,91.0
1135,6,56.0
1136,1,84.0
1136,2,71.0
1136,3,87.0
1136,4,61.0
1136,5,43.0
1136,6,44.0
1137,1,76.0
1137,2,80.0
1137,3,88.0
1137,4,52.0
1137,5,73.0
1137,6,84.0
1138,1,61.0
1138,2,92.0
1138,3,98.0
1138,4,62.0
1138,5,90.0
1138,6,42.0
1139,1,81.0
1139,2,73.0
1139,3,71.0
1139,4,84.0
1139,5,90.0
1139,6,97.0
1140,1,88.0
1140,2,60.0
1140,3,85.0
1140,4,83.0
1140,5,60.0
1140,6,83.0
1141,1,50.0
1141,2,78.0
1141,3,43.0
1141,4,90.0
1141,5,40.0
1141,6,67.0
1142,1,63.0
1142,2,74.0
1142,3,52.0
1142,4,86.0
1142,5,73.0
1142,6,50.0
1143,1,75.0
1143,2,90.0
1143,3,56.0
1143,4,74.0
1143,5,99.0
1143,6,57.0
1144,1,79.0
1144,2,61.0
1144,3,96.0
1144,4,63.0
1144,5,97.0
1144,6,58.0
1145,1,76.0
1145,2,78.0
1145,3,60.0
1145,4,47.0
1145,5,67.0
1145,6,44.0
1146,1,56.0
1146,2,76.0
1146,3,75.0
1146,4,93.0
1146,5,58.0
1146,6,66.0
1147,1,92.0
1147,2,73.0
1147,3,50.0
1147,4,93.0
1147,5,84.0
1147,6,86.0
1148,1,51.0
1148,2,93.0
1148,3,60.0
1148,4,93.0
1148,5,50.0
1148,6,78.0
1149,1,67.0
1149,2,44.0
1149,3,56.0
1149,4,95.0
1149,5,59.0
1149,6,80.0
1150,1,85.0
1150,2,97.0
1150,3,51.0
1150,4,45.0
1150,5,56.0
1150,6,90.0
1151,1,58.0
1151,2,65.0
1151,3,87.0
1151,4,83.0
1151,5,83.0
1151,6,91.0
1152,1,71.0
1152,2,45.0
1152,3,94.0
1152,4,97.0
1152,5,75.0
1152,6,77.0
1153,1,50.0
1153,2,72.0
1153,3,63.0
1153,4,62.0
1153,5,54.0
1153,6,66.0
1154,1,50.0
1154,2,96.0
1154,3,90.0
1154,4,89.0
1154,5,56.0
1154,6,90.0
1155,1,92.0
1155,2,53.0
1155,3,66.0
1155,4,57.0
1155,5,67.0
1155,6,90.0
1156,1,86.0
1156,2,86.0
1156,3,43.0
1156,4,46.0
1156,5,84.0
1156,6,74.0
1157,1,87.0
1157,2,48.0
1157,3,47.0
1157,4,91.0
1157,5,84.0
1157,6,56.0
1158,1,56.0
1158,2,88.0
1158,3,72.0
1158,4,71.0
1158,5,47.0
1158,6,58.0
1159,1,77.0
1159,2,42.0
1159,3,98.0
1159,4,44.0
1159,5,52.0
1159,6,86.0
1160,1,85.0
1160,2,70.0
1160,3,94.0
1160,4,55.0
1160,5,89.0
1160,6,71.0
1161,1,61.0
1161,2,68.0
1161,3,61.0
1161,4,82.0
1161,5,42.0
1161,6,93.0
1162,1,49.0
1162,2,81.0
1162,3,60.0
1162,4,55.0
1162,5,51.0
1162,6,41.0
1163,1,80.0
1163,2,63.0
1163,3,74.0
1163,4,95.0
1163,5,69.0
1163,6,96.0
1164,1,69.0
1164,2,86.0
1164,3,74.0
1164,4,58.0
1164,5,89.0
1164,6,47.0
1165,1,65.0
1165,2,88.0
1165,3,79.0
1165,4,46.0
1165,5,69.0
1165,6,46.0
1166,1,42.0
1166,2,40.0
1166,3,75.0
1166,4,64.0
1166,5,76.0
1166,6,40.0
1167,1,54.0
1167,2,76.0
1167,3,52.0
1167,4,79.0
1167,5,47.0
1167,6,44.0
1168,1,99.0
1168,2,48.0
1168,3,40.0
1168,4,75.0
1168,5,74.0
1168,6,41.0
1169,1,79.0
1169,2,62.0
1169,3,48.0
1169,4,73.0
1169,5,85.0
1169,6,53.0
1170,1,43.0
1170,2,69.0
1170,3,70.0
1170,4,77.0
1170,5,50.0
1170,6,74.0
1171,1,47.0
1171,2,42.0
1171,3,53.0
1171,4,99.0
1171,5,52.0
1171,6,84.0
1172,1,71.0
1172,2,73.0
1172,3,84.0
1172,4,58.0
1172,5,98.0
1172,6,77.0
1173,1,55.0
1173,2,41.0
1173,3,79.0
1173,4,56.0
1173,5,94.0
1173,6,73.0
1174,1,81.0
1174,2,99.0
1174,3,55.0
1174,4,77.0
1174,5,99.0
1174,6,41.0
1175,1,41.0
1175,2,65.0
1175,3,52.0
1175,4,95.0
1175,5,86.0
1175,6,70.0
1176,1,99.0
1176,2,73.0
1176,3,78.0
1176,4,42.0
1176,5,47.0
1176,6,62.0
1177,1,53.0
1177,2,95.0
1177,3,94.0
1177,4,66.0
1177,5,93.0
1177,6,68.0
1178,1,78.0
1178,2,92.0
1178,3,78.0
1178,4,40.0
1178,5,56.0
1178,6,80.0
1179,1,69.0
1179,2,92.0
1179,3,52.0
1179,4,60.0
1179,5,58.0
1179,6,92.0
1180,1,58.0
1180,2,96.0
1180,3,64.0
1180,4,61.0
1180,5,70.0
1180,6,56.0
1181,1,94.0
1181,2,62.0
1181,3,71.0
1181,4,49.0
1181,5,49.0
1181,6,75.0
1182,1,47.0
1182,2,93.0
1182,3,91.0
1182,4,59.0
1182,5,71.0
1182,6,89.0
1183,1,53.0
1183,2,89.0
1183,3,67.0
1183,4,85.0
1183,5,91.0
1183,6,92.0
1184,1,63.0
1184,2,54.0
1184,3,
1184,4,69.0
1184,5,43.0
1184,6,52.0
1185,1,98.0
1185,2,62.0
1185,3,47.0
1185,4,57.0
1185,5,51.0
1185,6,94.0
1186,1,70.0
1186,2,53.0
1186,3,73.0
1186,4,57.0
1186,5,95.0
1186,6,73.0
1187,1,50.0
1187,2,80.0
1187,3,51.0
1187,4,88.0
1187,5,54.0
1187,6,96.0
1188,1,70.0
1188,2,88.0
1188,3,97.0
1188,4,68.0
1188,5,65.0
1188,6,57.0
1189,1,71.0
1189,2,61.0
1189,3,77.0
1189,4,56.0
1189,5,62.0
1189,6,63.0
1190,1,89.0
1190,2,47.0
1190,3,80.0
1190,4,45.0
1190,5,44.0
1190,6,83.0
1191,1,96.0
1191,2,68.0
1191,3,67.0
1191,4,50.0
1191,5,96.0
1191,6,40.0
1192,1,82.0
1192,2,58.0
1192,3,48.0
1192,4,66.0
1192,5,73.0
1192,6,83.0
1193,1,43.0
1193,2,75.0
1193,3,57.0
1193,4,54.0
1193,5,90.0
1193,6,52.0
1194,1,58.0
1194,2,88.0
1194,3,45.0
1194,4,87.0
1194,5,95.0
1194,6,51.0
1195,1,90.0
1195,2,76.0
1195,3,56.0
1195,4,97.0
1195,5,62.0
1195,6,65.0
1196,1,68.0
1196,2,72.0
1196,3,99.0
1196,4,66.0
1196,5,64.0
1196,6,95.0
1197,1,94.0
1197,2,49.0
1197,3,86.0
1197,4,62.0
1197,5,60.0
1197,6,60.0
1198,1,82.0
1198,2,52.0
1198,3,76.0
1198,4,72.0
1198,5,63.0
1198,6,83.0
1199,1,50.0
1199,2,56.0
1199,3,43.0
1199,4,86.0
1199,5,64.0
1199,6,69.0
1200,1,48.0
1200,2,60.0
1200,3,59.0
1200,4,58.0
1200,5,58.0
1200,6,51.0
1201,1,76.0
1201,2,81.0
1201,3,56.0
1201,4,76.0
1201,5,93.0
1201,6,87.0
1202,1,78.0
1202,2,67.0
1202,3,80.0
1202,4,74.0
1202,5,86.0
1202,6,87.0
1203,1,57.0
1203,2,53.0
1203,3,74.0
1203,4,83.0
1203,5,80.0
1203,6,99.0
1204,1,46.0
1204,2,80.0
1204,3,52.0
1204,4,57.0
1204,5,76.0
1204,6,52.0
1205,1,75.0
1205,2,70.0
1205,3,41.0
1205,4,55.0
1205,5,48.0
1205,6,48.0
1206,1,77.0
1206,2,50.0
1206,3,93.0
1206,4,95.0
1206,5,61.0
1206,6,72.0
1207,1,75.0
1207,2,84.0
1207,3,62.0
1207,4,84.0
1207,5,84.0
1207,6,73.0
1208,1,48.0
1208,2,63.0
1208,3,47.0
1208,4,46.0
1208,5,75.0
1208,6,57.0
1209,1,42.0
1209,2,67.0
1209,3,45.0
1209,4,83.0
1209,5,83.0
1209,6,60.0
1210,1,67.0
1210,2,79.0
1210,3,93.0
1210,4,93.0
1210,5,40.0
1210,6,75.0
1211,1,60.0
1211,2,99.0
1211,3,82.0
1211,4,74.0
1211,5,52.0
1211,6,96.0
1212,1,88.0
1212,2,93.0
1212,3,93.0
1212,4,49.0
1212,5,92.0
1212,6,83.0
1213,1,86.0
1213,2,92.0
1213,3,49.0
1213,4,85.0
1213,5,52.0
1213,6,76.0
1214,1,77.0
1214,2,63.0
1214,3,41.0
1214,4,61.0
1214,5,56.0
1214,6,75.0
1215,1,53.0
1215,2,49.0
1215,3,74.0
1215,4,64.0
1215,5,42.0
1215,6,86.0
1216,1,77.0
1216,2,56.0
1216,3,51.0
1216,4,93.0
1216,5,91.0
1216,6,63.0
1217,1,68.0
1217,2,82.0
1217,3,64.0
1217,4,75.0
1217,5,97.0
1217,6,99.0
1218,1,65.0
1218,2,77.0
1218,3,40.0
1218,4,59.0
1218,5,94.0
1218,6,67.0
1219,1,55.0
1219,2,86.0
1219,3,56.0
1219,4,79.0
1219,5,67.0
1219,6,97.0
1220,1,51.0
1220,2,66.0
1220,3,93.0
1220,4,92.0
1220,5,81.0
1220,6,98.0
1221,1,86.0
1221,2,69.0
1221,3,80.0
1221,4,73.0
1221,5,76.0
1221,6,45.0
1222,1,46.0
1222,2,71.0
1222,3,71.0
1222,4,92.0
1222,5,64.0
1222,6,72.0
1223,1,94.0
1223,2,
1223,3,46.0
1223,4,91.0
1223,5,96.0
1223,6,51.0
1224,1,55.0
1224,2,55.0
1224,3,82.0
1224,4,92.0
1224,5,75.0
1224,6,52.0
1225,1,46.0
1225,2,75.0
1225,3,86.0
1225,4,90.0
1225,5,48.0
1225,6,71.0
1226,1,50.0
1226,2,47.0
1226,3,72.0
1226,4,62.0
1226,5,64.0
1226,6,95.0
1227,1,47.0
1227,2,84.0
1227,3,61.0
1227,4,98.0
1227,5,43.0
1227,6,79.0
1228,1,42.0
1228,2,68.0
1228,3,80.0
1228,4,68.0
1228,5,73.0
1228,6,73.0
1229,1,
1229,2,52.0
1229,3,54.0
1229,4,99.0
1229,5,62.0
1229,6,83.0
1230,1,65.0
1230,2,43.0
1230,3,65.0
1230,4,79.0
1230,5,48.0
1230,6,94.0
1231,1,44.0
1231,2,95.0
1231,3,71.0
1231,4,59.0
1231,5,89.0
1231,6,50.0
1232,1,54.0
1232,2,71.0
1232,3,67.0
1232,4,61.0
1232,5,80.0
1232,6,56.0
1233,1,98.0
1233,2,65.0
1233,3,83.0
1233,4,46.0
1233,5,81.0
1233,6,96.0
1234,1,65.0
1234,2,64.0
1234,3,49.0
1234,4,98.0
1234,5,84.0
1234,6,58.0
1235,1,50.0
1235,2,52.0
1235,3,92.0
1235,4,47.0
1235,5,79.0
1235,6,43.0
1236,1,86.0
1236,2,70.0
1236,3,67.0
1236,4,50.0
1236,5,82.0
1236,6,40.0
1237,1,88.0
1237,2,86.0
1237,3,91.0
1237,4,77.0
1237,5,63.0
1237,6,93.0
1238,1,99.0
1238,2,96.0
1238,3,86.0
1238,4,70.0
1238,5,80.0
1238,6,85.0
1239,1,89.0
1239,2,65.0
1239,3,88.0
1239,4,89.0
1239,5,44.0
1239,6,59.0
1240,1,91.0
1240,2,80.0
1240,3,50.0
1240,4,95.0
1240,5,93.0
1240,6,72.0
1241,1,89.0
1241,2,77.0
1241,3,66.0
1241,4,73.0
1241,5,54.0
1241,6,71.0
1242,1,97.0
1242,2,60.0
1242,3,85.0
1242,4,44.0
1242,5,45.0
1242,6,77.0
1243,1,61.0
1243,2,57.0
1243,3,53.0
1243,4,49.0
1243,5,85.0
1243,6,52.0
1244,1,70.0
1244,2,69.0
1244,3,42.0
1244,4,69.0
1244,5,45.0
1244,6,68.0
1245,1,47.0
1245,2,83.0
1245,3,84.0
1245,4,82.0
1245,5,83.0
1245,6,72.0
1246,1,56.0
1246,2,87.0
1246,3,50.0
1246,4,52.0
1246,5,89.0
1246,6,50.0
1247,1,70.0
1247,2,67.0
1247,3,83.0
1247,4,45.0
1247,5,80.0
1247,6,55.0
1248,1,43.0
1248,2,74.0
1248,3,99.0
1248,4,87.0
1248,5,95.0
1248,6,98.0
1249,1,65.0
1249,2,96.0
1249,3,51.0
1249,4,50.0
1249,5,76.0
1249,6,64.0
1250,1,57.0
1250,2,58.0
1250,3,62.0
1250,4,94.0
1250,5,77.0
1250,6,93.0
1251,1,57.0
1251,2,65.0
1251,3,45.0
1251,4,43.0
1251,5,83.0
1251,6,90.0
1252,1,68.0
1252,2,98.0
1252,3,73.0
1252,4,56.0
1252,5,82.0
1252,6,82.0
1253,1,92.0
1253,2,55.0
1253,3,41.0
1253,4,73.0
1253,5,94.0
1253,6,47.0
1254,1,52.0
1254,2,81.0
1254,3,47.0
1254,4,69.0
1254,5,71.0
1254,6,75.0
1255,1,86.0
1255,2,69.0
1255,3,40.0
1255,4,82.0
1255,5,78.0
1255,6,56.0
1256,1,98.0
1256,2,59.0
1256,3,63.0
1256,4,89.0
1256,5,61.0
1256,6,68.0
1257,1,61.0
1257,2,83.0
1257,3,48.0
1257,4,76.0
1257,5,49.0
1257,6,75.0
1258,1,76.0
1258,2,67.0
1258,3,67.0
1258,4,81.0
1258,5,82.0
1258,6,60.0
1259,1,63.0
1259,2,81.0
1259,3,99.0
1259,4,79.0
1259,5,41.0
1259,6,94.0
